,Country,ObjectId,Industry,Gas Type,Seasonal Adjustment,year,Q1,Q2,Q3,Q4
62,Africa,104,"Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,2024,245.6102155,248.3323944,250.6390422,251.3511978
63,Africa,104,"Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,2025,259.091613,,,
64,Africa,105,"Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,2010,137.4009802,126.7970672,125.4835448,129.2773768
65,Africa,105,"Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,2011,138.5621355,128.9914695,128.0290269,132.0723982
66,Africa,105,"Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,2012,140.3710024,133.6254982,133.1699093,138.7222699
67,Africa,105,"Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,2013,144.2979083,135.7495548,134.0692915,141.2315255
68,Africa,105,"Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,2014,148.4639357,136.9892137,137.3784481,144.0517621
69,Africa,105,"Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,2015,152.8075489,139.390641,139.5891526,146.3556982
70,Africa,105,"Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,2016,153.4898851,143.9281283,144.6399244,154.4047037
71,Africa,105,"Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,2017,151.9290273,151.2600239,148.8818379,148.8142403
72,Africa,105,"Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,2018,151.5422401,151.7696549,152.8006143,156.6906783
73,Africa,105,"Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,2019,155.8877839,156.4133554,157.2375017,158.7324968
74,Africa,105,"Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,2020,160.7948842,161.3354825,162.2662214,163.601378
75,Africa,105,"Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,2021,162.7767948,161.7453842,162.4867873,163.1602024
76,Africa,105,"Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,2022,164.9301083,165.2524716,166.6550252,167.7213285
77,Africa,105,"Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,2023,169.2111806,168.2210752,169.725937,170.9115008
78,Africa,105,"Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,2024,172.5814317,173.0455972,174.8928654,175.4430646
79,Africa,105,"Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,2025,177.521875,,,
80,Africa,106,"Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,2010,130.5063536,129.4385271,129.4777976,129.5362908
81,Africa,106,"Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,2011,131.6367563,131.5992841,132.4123302,132.0066595
82,Africa,106,"Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,2012,133.6475358,136.3767343,137.7626252,138.1017845
83,Africa,106,"Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,2013,137.5153291,138.9457858,138.3723336,140.5148317
84,Africa,106,"Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,2014,141.2110786,140.6918323,141.9911091,142.9893396
85,Africa,106,"Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,2015,145.8778684,143.3380374,144.758142,144.1689929
86,Africa,106,"Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,2016,148.3099185,147.099665,150.0438113,151.0092468
87,Africa,106,"Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,2017,148.8036994,153.2335977,149.3418911,149.505941
88,Africa,106,"Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,2018,149.9876208,152.7867262,153.6753564,156.3534842
89,Africa,106,"Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,2019,155.5278304,156.7972511,157.5527858,158.3932704
90,Africa,106,"Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,2020,160.3673229,161.6132005,162.6905211,163.3269215
91,Africa,106,"Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,2021,162.3602627,162.0866261,162.5528943,163.1693856
92,Africa,106,"Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,2022,164.2547017,165.6780336,166.8867438,167.7394545
93,Africa,106,"Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,2023,168.6418624,168.697396,169.788263,170.9421722
94,Africa,106,"Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,2024,171.9630325,173.5512976,174.6524237,175.4079119
95,Africa,106,"Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,2025,176.8515458,,,
96,Africa,107,"Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,2010,53.77244278,52.99710287,52.90910062,54.26422609
97,Africa,107,"Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,2011,54.37528367,53.79703291,54.20505219,55.17752085
98,Africa,107,"Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,2012,55.47674161,54.96311118,55.92170499,56.59105547
99,Africa,107,"Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,2013,57.56188602,56.52927303,56.47238775,58.14520405
100,Africa,107,"Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,2014,58.06921348,57.13918915,57.60065626,59.05184803
101,Africa,107,"Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,2015,59.24010877,57.87039719,58.37589092,60.44097528
102,Africa,107,"Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,2016,60.23499929,60.2222972,60.87710892,62.63284088
103,Africa,107,"Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,2017,61.95830386,61.72439917,60.76016943,62.5822729
104,Africa,107,"Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,2018,62.3493655,62.00574699,62.25592849,64.16370011
105,Africa,107,"Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,2019,62.94164002,62.46194131,63.26994368,65.73941115
106,Africa,107,"Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,2020,65.14572002,63.24583213,65.79344437,68.23664011
107,Africa,107,"Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,2021,66.48754499,65.17061892,65.85278407,67.5180265
108,Africa,107,"Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,2022,67.81966712,66.40890471,67.43147334,69.12204789
109,Africa,107,"Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,2023,68.56435705,67.45623545,67.76387085,70.57030978
110,Africa,107,"Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,2024,69.3933592,69.04322804,70.01556816,72.44228542
111,Africa,107,"Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,2025,77.9135446,,,
112,Africa,108,"Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,2010,53.24358607,53.50245735,53.42404446,53.77278449
113,Africa,108,"Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,2011,53.85851845,54.36606169,54.78604205,54.54426744
114,Africa,108,"Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,2012,55.18206683,55.4596476,56.33199484,55.97890398
115,Africa,108,"Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,2013,56.90993733,57.18828301,57.01102045,57.59951004
116,Africa,108,"Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,2014,57.46935514,57.80314869,58.20239194,58.38601116
117,Africa,108,"Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,2015,58.67767825,58.59487562,59.07020416,59.58461414
118,Africa,108,"Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,2016,60.11329732,60.79039428,61.53151359,61.5320411
119,Africa,108,"Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,2017,61.80841101,62.37061327,61.3908268,61.45529427
120,Africa,108,"Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,2018,62.20674003,62.64537209,62.939098,62.98353096
121,Africa,108,"Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,2019,62.73071998,63.18943252,63.99736941,64.49541426
122,Africa,108,"Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,2020,65.18107891,63.97933815,66.39380188,66.86741769
123,Africa,108,"Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,2021,66.13068833,66.08828594,66.6043729,66.2056273
124,Africa,108,"Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,2022,67.41141592,67.39368974,68.30460748,67.67237992
125,Africa,108,"Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,2023,68.13977278,68.43212706,68.66628152,69.11659177
126,Africa,108,"Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,2024,69.0556736,70.0397574,71.15161535,71.09223413
127,Africa,108,"Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,2025,77.11575913,,,
128,Africa,109,Construction,Carbon dioxide,Not Seasonally Adjusted,2010,3.800320469,3.541205217,3.605949124,3.791945758
129,Africa,109,Construction,Carbon dioxide,Not Seasonally Adjusted,2011,3.872975286,3.443019263,3.499642606,3.868151019
130,Africa,109,Construction,Carbon dioxide,Not Seasonally Adjusted,2012,3.853584516,3.521447239,3.385641563,3.852089993
131,Africa,109,Construction,Carbon dioxide,Not Seasonally Adjusted,2013,3.970449979,3.793090396,3.747250966,4.020977097
132,Africa,109,Construction,Carbon dioxide,Not Seasonally Adjusted,2014,4.170711669,3.653659819,3.848545959,4.143625803
133,Africa,109,Construction,Carbon dioxide,Not Seasonally Adjusted,2015,4.007593237,3.647414068,3.738087092,4.017771035
134,Africa,109,Construction,Carbon dioxide,Not Seasonally Adjusted,2016,3.889438303,3.800311444,3.927037673,4.001168769
135,Africa,109,Construction,Carbon dioxide,Not Seasonally Adjusted,2017,4.233784302,3.659460989,3.845122311,4.210517797
136,Africa,109,Construction,Carbon dioxide,Not Seasonally Adjusted,2018,4.311779516,4.035989732,4.225192905,4.546379628
137,Africa,109,Construction,Carbon dioxide,Not Seasonally Adjusted,2019,4.351070633,3.952339334,3.993291958,4.123482304
138,Africa,109,Construction,Carbon dioxide,Not Seasonally Adjusted,2020,3.956870847,3.431588801,3.626723009,3.983288317
139,Africa,109,Construction,Carbon dioxide,Not Seasonally Adjusted,2021,4.209146596,3.964223743,3.9637756,4.311264976
140,Africa,109,Construction,Carbon dioxide,Not Seasonally Adjusted,2022,4.401240921,3.758785972,3.874879273,4.063016557
141,Africa,109,Construction,Carbon dioxide,Not Seasonally Adjusted,2023,4.081450185,3.715599443,3.975814501,4.340123919
142,Africa,109,Construction,Carbon dioxide,Not Seasonally Adjusted,2024,4.12874309,3.794354599,4.041964322,4.359283668
143,Africa,109,Construction,Carbon dioxide,Not Seasonally Adjusted,2025,4.469716821,,,
144,Africa,110,Construction,Carbon dioxide,Seasonally Adjusted,2010,3.659472588,3.669490955,3.716699091,3.693757934
145,Africa,110,Construction,Carbon dioxide,Seasonally Adjusted,2011,3.760324713,3.636487868,3.509057057,3.777918536
146,Africa,110,Construction,Carbon dioxide,Seasonally Adjusted,2012,3.698063488,3.698287875,3.587488954,3.628922994
147,Africa,110,Construction,Carbon dioxide,Seasonally Adjusted,2013,3.806712243,3.983032324,3.881740966,3.860282906
148,Africa,110,Construction,Carbon dioxide,Seasonally Adjusted,2014,4.004892793,3.829450583,3.977763983,4.004435891
149,Africa,110,Construction,Carbon dioxide,Seasonally Adjusted,2015,3.841584244,3.733772287,3.938844305,3.896664594
150,Africa,110,Construction,Carbon dioxide,Seasonally Adjusted,2016,3.781118356,3.917123636,4.002061719,3.917652478
151,Africa,110,Construction,Carbon dioxide,Seasonally Adjusted,2017,4.133450276,3.814582759,3.890669077,4.110183288
152,Africa,110,Construction,Carbon dioxide,Seasonally Adjusted,2018,4.226898321,4.187248528,4.393974401,4.311220531
153,Africa,110,Construction,Carbon dioxide,Seasonally Adjusted,2019,4.127709002,4.200615983,4.139904556,3.951954688
154,Africa,110,Construction,Carbon dioxide,Seasonally Adjusted,2020,3.849540629,3.697687231,3.570367977,3.880875138
155,Africa,110,Construction,Carbon dioxide,Seasonally Adjusted,2021,4.168788291,4.196575975,3.941550551,4.141496098
156,Africa,110,Construction,Carbon dioxide,Seasonally Adjusted,2022,4.164308849,3.977181987,4.093977171,3.862454715
157,Africa,110,Construction,Carbon dioxide,Seasonally Adjusted,2023,3.927963076,3.927432191,4.082410993,4.175181789
158,Africa,110,Construction,Carbon dioxide,Seasonally Adjusted,2024,4.164792897,4.043981416,4.247277926,4.209753723
159,Africa,110,Construction,Carbon dioxide,Seasonally Adjusted,2025,4.259498578,,,
160,Africa,111,Construction,Greenhouse gas,Not Seasonally Adjusted,2010,3.853516453,3.597676421,3.668299757,3.849894366
161,Africa,111,Construction,Greenhouse gas,Not Seasonally Adjusted,2011,3.929433653,3.498894154,3.559724081,3.925712264
162,Africa,111,Construction,Greenhouse gas,Not Seasonally Adjusted,2012,3.905697159,3.578412284,3.445732279,3.910343429
163,Africa,111,Construction,Greenhouse gas,Not Seasonally Adjusted,2013,4.028281649,3.855148307,3.813079507,4.083008523
164,Africa,111,Construction,Greenhouse gas,Not Seasonally Adjusted,2014,4.22510967,3.707836431,3.906995411,4.198507953
165,Africa,111,Construction,Greenhouse gas,Not Seasonally Adjusted,2015,4.060576248,3.704831766,3.791940576,4.073133245
166,Africa,111,Construction,Greenhouse gas,Not Seasonally Adjusted,2016,3.939271579,3.858862073,3.988669632,4.054249965
167,Africa,111,Construction,Greenhouse gas,Not Seasonally Adjusted,2017,4.282808421,3.710697125,3.898057985,4.263173038
168,Africa,111,Construction,Greenhouse gas,Not Seasonally Adjusted,2018,4.364603159,4.092048393,4.283537314,4.603449741
169,Africa,111,Construction,Greenhouse gas,Not Seasonally Adjusted,2019,4.406174542,4.010772005,4.051446762,4.18036874
170,Africa,111,Construction,Greenhouse gas,Not Seasonally Adjusted,2020,4.011547003,3.487778154,3.68599099,4.041248505
171,Africa,111,Construction,Greenhouse gas,Not Seasonally Adjusted,2021,4.266998707,4.024582928,4.02618409,4.371376926
172,Africa,111,Construction,Greenhouse gas,Not Seasonally Adjusted,2022,4.460267647,3.819705922,3.936048178,4.123521742
173,Africa,111,Construction,Greenhouse gas,Not Seasonally Adjusted,2023,4.141451981,3.775890137,4.037279841,4.400652132
174,Africa,111,Construction,Greenhouse gas,Not Seasonally Adjusted,2024,4.188382346,3.856254943,4.103080533,4.420434068
175,Africa,111,Construction,Greenhouse gas,Not Seasonally Adjusted,2025,4.529724373,,,
176,Africa,112,Construction,Greenhouse gas,Seasonally Adjusted,2010,3.715853256,3.727093842,3.77493162,3.751508279
177,Africa,112,Construction,Greenhouse gas,Seasonally Adjusted,2011,3.820521899,3.693153285,3.56509079,3.834998176
178,Africa,112,Construction,Greenhouse gas,Seasonally Adjusted,2012,3.752680144,3.755894237,3.644307201,3.68730357
179,Africa,112,Construction,Greenhouse gas,Seasonally Adjusted,2013,3.867858093,4.044555639,3.944076216,3.923028038
180,Africa,112,Construction,Greenhouse gas,Seasonally Adjusted,2014,4.062518786,3.883909744,4.032627148,4.059393787
181,Africa,112,Construction,Greenhouse gas,Seasonally Adjusted,2015,3.897582857,3.790170724,3.990205345,3.952522908
182,Africa,112,Construction,Greenhouse gas,Seasonally Adjusted,2016,3.83399011,3.975245225,4.060352088,3.971465827
183,Africa,112,Construction,Greenhouse gas,Seasonally Adjusted,2017,4.184280072,3.865437482,3.942126547,4.162892468
184,Africa,112,Construction,Greenhouse gas,Seasonally Adjusted,2018,4.281814216,4.242760268,4.450598749,4.368465375
185,Africa,112,Construction,Greenhouse gas,Seasonally Adjusted,2019,4.184666666,4.258525202,4.196734284,4.008835897
186,Africa,112,Construction,Greenhouse gas,Seasonally Adjusted,2020,3.90573643,3.753641151,3.628236478,3.938950593
187,Africa,112,Construction,Greenhouse gas,Seasonally Adjusted,2021,4.228086414,4.256880804,4.002742392,4.201433042
188,Africa,112,Construction,Greenhouse gas,Seasonally Adjusted,2022,4.22483569,4.037599482,4.154025307,3.92308301
189,Africa,112,Construction,Greenhouse gas,Seasonally Adjusted,2023,3.989296369,3.987593495,4.142979878,4.235404349
190,Africa,112,Construction,Greenhouse gas,Seasonally Adjusted,2024,4.225333893,4.105282647,4.30782256,4.270698215
191,Africa,112,Construction,Greenhouse gas,Seasonally Adjusted,2025,4.320389235,,,
192,Africa,113,Construction,Methane,Not Seasonally Adjusted,2010,0.032209483,0.033923662,0.037267445,0.033883608
193,Africa,113,Construction,Methane,Not Seasonally Adjusted,2011,0.033948734,0.033541594,0.03610627,0.034471923
194,Africa,113,Construction,Methane,Not Seasonally Adjusted,2012,0.031280166,0.0344173,0.035901145,0.035763285
195,Africa,113,Construction,Methane,Not Seasonally Adjusted,2013,0.03485901,0.038020559,0.039819467,0.037908804
196,Africa,113,Construction,Methane,Not Seasonally Adjusted,2014,0.032982586,0.032566004,0.03486059,0.032754491
197,Africa,113,Construction,Methane,Not Seasonally Adjusted,2015,0.032044269,0.034724958,0.03195149,0.033251538
198,Africa,113,Construction,Methane,Not Seasonally Adjusted,2016,0.029855878,0.03498133,0.036960627,0.032207436
199,Africa,113,Construction,Methane,Not Seasonally Adjusted,2017,0.029408899,0.030620681,0.03144825,0.031946365
200,Africa,113,Construction,Methane,Not Seasonally Adjusted,2018,0.032368082,0.034310362,0.035282899,0.035197531
201,Africa,113,Construction,Methane,Not Seasonally Adjusted,2019,0.034383882,0.036232269,0.035684355,0.03551583
202,Africa,113,Construction,Methane,Not Seasonally Adjusted,2020,0.034353986,0.035363244,0.036772852,0.036583506
203,Africa,113,Construction,Methane,Not Seasonally Adjusted,2021,0.036447355,0.03829645,0.039297087,0.038398105
204,Africa,113,Construction,Methane,Not Seasonally Adjusted,2022,0.037789532,0.038838996,0.038746286,0.038543721
205,Africa,113,Construction,Methane,Not Seasonally Adjusted,2023,0.038286199,0.038545091,0.039065448,0.038505628
206,Africa,113,Construction,Methane,Not Seasonally Adjusted,2024,0.037877076,0.039401902,0.03872137,0.038815335
207,Africa,113,Construction,Methane,Not Seasonally Adjusted,2025,0.037937939,,,
208,Africa,114,Construction,Methane,Seasonally Adjusted,2010,0.033827767,0.034751323,0.03494741,0.033757697
209,Africa,114,Construction,Methane,Seasonally Adjusted,2011,0.035919613,0.034124967,0.033847079,0.034176863
210,Africa,114,Construction,Methane,Seasonally Adjusted,2012,0.032561463,0.034845254,0.034168456,0.035786723
